CCA1,CCA2,vgntxt,ccatype,Phylum,Class,Order,Family,Genus,names,plot
1.109153366,1.976895001,1101451,species,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Micrococcus,1101451,
-3.377310316,-2.276584566,278327,species,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Cryomorpha,278327,
0.806279051,2.053553222,544480,species,Actinobacteria,Actinobacteria,Actinomycetales,Corynebacteriaceae,Corynebacterium,544480,
1.108601046,2.761641081,334555,species,Firmicutes,Bacilli,Bacillales,Planococcaceae,Rummeliibacillus,334555,
-0.909644524,0.276007219,114587,species,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Pseudonocardia,114587,
-0.064398022,-0.932647869,4307265,species,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,4307265,
-4.067065897,-0.723242036,551109,species,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Asticcacaulis,551109,
-4.067065897,-0.723242036,2902522,species,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,2902522,
-0.194260084,1.225671132,835543,species,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Actinoplanes,835543,
1.046852227,2.870474602,593672,species,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,593672,
-2.18892655,0.776867862,581821,species,Actinobacteria,Actinobacteria,Actinomycetales,Promicromonosporaceae,Promicromonospora,581821,
0.140125188,1.527059784,1038987,species,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Flavisolibacter,1038987,
0.131820477,1.576879215,334383,species,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Phascolarctobacterium,334383,
0.869204013,-0.273004218,862115,species,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,862115,
-1.680560867,-2.05206285,246939,species,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinomadura,246939,
-1.67471849,-5.192143664,905769,species,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,905769,
-1.661913508,-0.354106989,1128644,species,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfovibrionaceae,Lawsonia,1128644,
-0.401661152,0.785658418,816470,species,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,816470,
-2.255146077,1.996222266,929770,species,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Nesterenkonia,929770,
1.00985845,2.742611734,463861,species,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Arthrobacter,463861,
-3.377310316,-2.276584566,810167,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Methylibium,810167,
-0.431765897,0.901445149,528952,species,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,528952,1
-0.443756274,0.167558833,273974,species,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Wolbachia,273974,
2.788007003,4.390396067,97840,species,Cyanobacteria,Gloeobacterophycideae,Gloeobacterales,Gloeobacteraceae,Gloeobacter,97840,
1.655811816,0.200731388,995960,species,Actinobacteria,Actinobacteria,Actinomycetales,Dermabacteraceae,Brachybacterium,995960,
-2.380528013,-0.853964118,1066621,species,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,1066621,
1.867072407,3.396966605,377546,species,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Mycoplana,377546,
-0.838725986,1.099064364,909520,species,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Anaeromyxobacter,909520,
-1.452308177,-0.428908111,934235,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Beijerinckia,934235,
-3.028872089,-0.745686724,1106617,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Roseateles,1106617,
-0.532926575,-0.336609372,4417061,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Xanthobacter,4417061,
-3.377310316,-2.276584566,269907,species,Bacteroidetes,Bacteroidia,Bacteroidales,Paraprevotellaceae,Prevotella,269907,
-0.129855844,-2.26325464,731014,species,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Pilimelia,731014,
-1.137799575,1.661400467,1068363,species,Armatimonadetes,Fimbriimonadia,Fimbriimonadales,Fimbriimonadaceae,Fimbriimonas,1068363,
-2.241815353,1.948873704,1096738,species,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Alkanindiges,1096738,
-0.806786579,-0.20610073,897109,species,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Gallibacterium,897109,
0.757262878,0.490488478,609533,species,Fusobacteria,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,609533,
-2.495883344,-0.44308769,714231,species,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,714231,
4.955981696,-7.768784838,5492,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,5492,
-1.895684762,-0.646730842,849118,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Devosia,849118,
-0.022126986,-0.010822802,527854,species,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,527854,
0.787193992,-2.751183106,689528,species,Actinobacteria,Actinobacteria,Actinomycetales,Intrasporangiaceae,Phycicoccus,689528,
-0.888243021,0.182158481,566454,species,Actinobacteria,Actinobacteria,Actinomycetales,Dermacoccaceae,Dermacoccus,566454,
-1.187190596,0.025132739,437105,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Ralstonia,437105,
-1.613918826,-0.284789708,1146798,species,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Epulopiscium,1146798,
-2.379333758,-2.304408592,4356361,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ramlibacter,4356361,
0.264318618,0.878674744,3908639,species,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,3908639,
2.140338065,0.902122021,569551,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Pigmentiphaga,569551,
3.434087999,-1.375268914,4336330,species,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Xanthomonas,4336330,
1.078739312,2.513406715,976441,species,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,976441,
2.164431498,3.701592051,268353,species,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,268353,
-1.187190596,0.025132739,745917,species,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Azospirillum,745917,
-1.84601361,-1.367798524,801579,species,Firmicutes,Bacilli,Bacillales,Planococcaceae,Lysinibacillus,801579,
1.434414751,2.918676059,540940,species,Firmicutes,Bacilli,Lactobacillales,Leuconostocaceae,Leuconostoc,540940,
-2.362361028,1.516896994,3025,species,Chlamydiae,Chlamydiia,Chlamydiales,Chlamydiaceae,Chlamydia,3025,
-0.60838848,0.313917155,1048194,species,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Actinomycetospora,1048194,
-1.67984064,-0.715748395,62965,species,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Niabella,62965,
-0.389391699,-0.608174912,105210,species,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Agromyces,105210,
-2.107713555,1.508345998,706798,species,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Saccharopolyspora,706798,
1.609860855,-1.037456515,804735,species,Actinobacteria,Actinobacteria,Actinomycetales,Brevibacteriaceae,Brevibacterium,804735,
0.597887282,2.088678763,1135798,species,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,1135798,
-1.26994438,-0.461237158,324217,species,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Aeromicrobium,324217,
-0.001059244,-0.69136863,1092725,species,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Rothia,1092725,
2.410291843,2.357040763,814176,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,814176,
-1.413149505,-0.560168392,610753,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Phyllobacteriaceae,Mesorhizobium,610753,
0.597887282,2.088678763,1110792,species,Acidobacteria,Acidobacteriia,Acidobacteriales,Koribacteraceae,Candidatus_Koribacter,1110792,
-1.359530531,-0.73282611,766020,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,766020,
-0.284613513,0.383467242,236358,species,Actinobacteria,Actinobacteria,Actinomycetales,Glycomycetaceae,Glycomyces,236358,
-2.389522807,0.529469109,244196,species,Actinobacteria,Actinobacteria,Actinomycetales,Beutenbergiaceae,Salana,244196,
-2.621123105,-1.894374821,569356,species,Proteobacteria,Betaproteobacteria,Rhodocyclales,Rhodocyclaceae,Thauera,569356,
0.008011911,1.183645343,37332,species,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Amycolatopsis,37332,
-1.40849934,-0.68513343,569018,species,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Verrucomicrobium,569018,
-0.883367441,1.454537941,212239,species,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,Terriglobus,212239,
-2.454344797,-1.640691852,4418266,species,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Perlucidibaca,4418266,
-1.464082868,-0.721971268,1111582,species,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,1111582,
-1.054377466,1.475527955,1039594,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,1039594,
-2.071742984,-1.096076293,2847581,species,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Hyphomonadaceae,Hyphomonas,2847581,
-1.841397703,-0.776066211,537953,species,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,A17,537953,
-3.377310316,-2.276584566,274025,species,Proteobacteria,Deltaproteobacteria,Myxococcales,Myxococcaceae,Myxococcus,274025,
5.00560933,0.665489377,518743,species,Firmicutes,Clostridia,Clostridiales,Veillonellaceae,Veillonella,518743,
-0.638186481,0.284238654,1062748,species,Actinobacteria,Actinobacteria,Actinomycetales,Mycobacteriaceae,Mycobacterium,1062748,
-1.956541583,-1.839756991,4428164,species,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Kushneria,4428164,
0.542151859,-4.711344612,574102,species,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Enhydrobacter,574102,
3.519368428,-8.758399237,368490,species,Firmicutes,Bacilli,Turicibacterales,Turicibacteraceae,Turicibacter,368490,
-1.459905677,-0.804263016,243943,species,Actinobacteria,Actinobacteria,Actinomycetales,Nocardioidaceae,Pimelobacter,243943,
-3.377310316,-2.276584566,547806,species,Actinobacteria,Actinobacteria,Actinomycetales,Actinosynnemataceae,Lentzea,547806,
-1.187190596,0.025132739,968336,species,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,968336,
-1.296796125,-0.020268768,1072787,species,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Luteimonas,1072787,
-0.260323985,0.536621717,4411088,species,Actinobacteria,Actinobacteria,Actinomycetales,Thermomonosporaceae,Actinoallomurus,4411088,
-1.876946176,1.578475268,112057,species,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Renibacterium,112057,
-1.187190596,0.025132739,1139250,species,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Terrimonas,1139250,
-0.37084822,-0.045240596,243777,species,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,243777,
-0.705337323,-0.33734774,687940,species,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,687940,
0.97583135,-1.82325603,207813,species,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,207813,
-1.682524235,-1.718318686,165338,species,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,165338,
-1.438288593,-0.268528201,221896,species,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Candidatus_Xiphinematobacter,221896,
-4.067065897,-0.723242036,526994,species,Actinobacteria,Actinobacteria,Actinomycetales,Micromonosporaceae,Virgisporangium,526994,
-3.377310316,-2.276584566,4326464,species,Cyanobacteria,Synechococcophycideae,Pseudanabaenales,Pseudanabaenaceae,Leptolyngbya,4326464,
0.387937121,-0.049767247,573432,species,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter,573432,
-1.836698761,0.665199931,4351129,species,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Luteolibacter,4351129,
-0.680115283,1.88216732,721526,species,Firmicutes,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,721526,
-2.819201474,-2.750120248,839235,species,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,839235,
-2.909856409,-2.88026827,593171,species,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Phaeospirillum,593171,
1.545542322,3.032619245,590099,species,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingomonas,590099,
-2.194227229,0.586862114,449855,species,Actinobacteria,Actinobacteria,Actinomycetales,Micrococcaceae,Microbispora,449855,
0.597887282,2.088678763,423795,species,Actinobacteria,Actinobacteria,Actinomycetales,Streptosporangiaceae,Nonomuraea,423795,
-2.500261712,-1.410420366,3025389,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,3025389,
-2.814031614,0.128797839,584085,species,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Chitinophaga,584085,
-0.604516911,1.06710547,4045633,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,4045633,
-1.16551112,0.64046985,136379,species,Actinobacteria,Actinobacteria,Actinomycetales,Frankiaceae,Frankia,136379,
-1.187190596,0.025132739,544536,species,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Weeksella,544536,
1.421826965,1.229508684,7764,species,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,7764,
0.314550722,1.398266006,921110,species,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,921110,
-0.97396955,-0.473725371,1073436,species,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,1073436,1
-0.090277841,1.452021434,751643,species,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,751643,
0.340643816,1.568329927,572586,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylobacteriaceae,Methylobacterium,572586,
-0.704322913,-0.404234516,1106130,species,Actinobacteria,Actinobacteria,Actinomycetales,Streptomycetaceae,Streptomyces,1106130,
-1.684214549,-0.605860813,993307,species,Planctomycetes,Planctomycetia,Pirellulales,Pirellulaceae,Pirellula,993307,
-3.377310316,-2.276584566,180118,species,Proteobacteria,Deltaproteobacteria,Myxococcales,Haliangiaceae,Haliangium,180118,
1.663760206,-1.847305297,956334,species,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,Prauseria,956334,
-1.329838932,-0.811398206,3805518,species,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,SMB53,3805518,1
-1.826611964,-0.211435375,4358716,species,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,Chthoniobacter,4358716,
-2.823197843,-2.992181687,274948,species,Firmicutes,Bacilli,Bacillales,Bacillaceae,Marinococcus,274948,
-0.052370664,0.368982626,231787,species,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,231787,
-0.284613513,0.383467242,155362,species,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium,155362,
-1.038119965,-0.928635663,584375,species,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,584375,
-0.425898799,1.474029198,1106324,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Acidovorax,1106324,
-3.377310316,-2.276584566,813695,species,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Arenimonas,813695,
1.39328605,1.903794744,553623,species,Actinobacteria,Actinobacteria,Actinomycetales,Dietziaceae,Dietzia,553623,
1.788920657,-0.824225761,1722070,species,Actinobacteria,Nitriliruptoria,Euzebyales,Euzebyaceae,Euzebya,1722070,
-2.409714891,-1.535690955,214811,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Pleomorphomonas,214811,
-2.581993236,-1.646738606,3077248,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhodobiaceae,Afifella,3077248,
-2.473539971,-0.912397147,967505,species,Proteobacteria,Deltaproteobacteria,Bdellovibrionales,Bdellovibrionaceae,Bdellovibrio,967505,
-1.564050102,-0.208686981,788268,species,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Cellulomonas,788268,
-1.043629058,-0.143696938,1106498,species,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Nitrospira,1106498,
-2.05602403,0.219468831,814909,species,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Salinibacterium,814909,
-2.844426148,-1.686422843,554499,species,Cyanobacteria,Nostocophycideae,Nostocales,Scytonemataceae,Brasilonema,554499,
0.706220407,2.881072247,240451,species,Actinobacteria,Actinobacteria,Actinomycetales,Kineosporiaceae,Kineococcus,240451,
-0.838725986,1.099064364,874539,species,Bacteroidetes,Rhodothermi,Rhodothermales,Rhodothermaceae,Rubricoccus,874539,
-1.675586604,-0.382066405,240459,species,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Amaricoccus,240459,
-2.566092324,-0.192227965,139390,species,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Microthrixaceae,Candidatus_Microthrix,139390,
-1.940566591,-1.579643782,816441,species,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,Steroidobacter,816441,
-3.377310316,-2.276584566,551756,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Kaistia,551756,
-1.245351,0.187637822,581747,species,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Acidisoma,581747,
2.448558895,-0.509839119,84268,species,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiaceae,Nocardia,84268,
-0.439491671,-1.588851641,3875031,species,Bacteroidetes,Saprospirae,Saprospirales,Chitinophagaceae,Flavihumibacter,3875031,
-0.670616495,0.062798099,255657,species,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Haererehalobacter,255657,
-1.567201627,-0.093699478,883057,species,Actinobacteria,Actinobacteria,Actinomycetales,Cellulomonadaceae,Actinotalea,883057,
-1.247086876,0.522170244,1108350,species,Actinobacteria,Actinobacteria,Actinomycetales,Microbacteriaceae,Curtobacterium,1108350,
-2.059625007,-0.980982303,545782,species,Planctomycetes,Planctomycetia,Gemmatales,Gemmataceae,Gemmata,545782,
0.535880295,-2.521928556,1009340,species,Verrucomicrobia,Spartobacteria,Chthoniobacterales,Chthoniobacteraceae,DA101,1009340,
-0.873986412,-0.620211185,886728,species,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,886728,
0.483461057,1.445488514,543675,species,Actinobacteria,Actinobacteria,Actinomycetales,Tsukamurellaceae,Tsukamurella,543675,
-1.33670201,-0.634652857,2578889,species,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Leadbetterella,2578889,
-3.067661551,-1.644676505,231447,species,Verrucomicrobia,Opitutae,Opitutales,Opitutaceae,Opitutus,231447,
2.190219946,0.893670737,11353,species,Actinobacteria,Rubrobacteria,Rubrobacterales,Rubrobacteraceae,Rubrobacter,11353,
0.597887282,2.088678763,593625,species,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,593625,
3.166300185,-5.638022138,317200,species,Actinobacteria,Actinobacteria,Actinomycetales,Nocardiopsaceae,Nocardiopsis,317200,
1.883773272,1.609257263,537775,species,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacterium,537775,
-0.559042033,0.519963856,538998,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylosinus,538998,
-1.408332303,-0.808665188,1056070,species,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,1056070,
3.063892522,1.209326509,668525,species,Actinobacteria,Actinobacteria,Actinomycetales,Pseudonocardiaceae,Jiangella,668525,
2.664384887,-3.069164495,784415,species,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Salinispora,784415,
-2.625591219,-1.011437299,684965,species,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola,684965,
0.539568842,0.618305296,4326857,species,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,4326857,
-1.511512422,-0.036474411,225760,species,Cyanobacteria,Oscillatoriophycideae,Oscillatoriales,Phormidiaceae,Phormidium,225760,
-3.160475014,-1.229210155,23838,species,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,23838,
0.597887282,2.088678763,937813,species,Firmicutes,Clostridia,Clostridiales,Tissierellaceae,Anaerococcus,937813,
